航班ID,日期,国际/国内,航班号,起飞机场,降落机场,起飞时间,降落时间,飞机ID,机型,旅客数,联程旅客数,座位数,重要系数
1,2017/5/5,国内,346,48,50,2017/5/5 12:20,2017/5/5 15:10,30,1,113,0,119,1.0 
2,2017/5/7,国内,346,48,50,2017/5/7 12:20,2017/5/7 15:10,40,1,66,0,119,1.0 
3,2017/5/8,国内,346,48,50,2017/5/8 12:20,2017/5/8 15:10,31,1,30,0,119,1.0 
4,2017/5/5,国内,347,49,48,2017/5/5 21:00,2017/5/5 23:45,59,2,123,0,161,1.0 
5,2017/5/6,国内,346,48,50,2017/5/6 12:20,2017/5/6 15:10,40,1,97,0,119,1.0 
6,2017/5/6,国内,344,68,49,2017/5/6 11:15,2017/5/6 13:25,6,2,90,0,161,1.0 
7,2017/5/8,国内,344,68,49,2017/5/8 11:15,2017/5/8 13:25,129,2,145,0,183,1.0 
8,2017/5/5,国内,344,68,49,2017/5/5 11:15,2017/5/5 13:25,133,2,153,0,183,1.0 
9,2017/5/5,国内,345,50,48,2017/5/5 8:05,2017/5/5 11:00,30,1,101,0,119,1.0 
10,2017/5/6,国内,345,50,48,2017/5/6 8:05,2017/5/6 11:00,40,1,100,0,119,1.0 
11,2017/5/7,国内,345,50,48,2017/5/7 8:05,2017/5/7 11:00,40,1,79,0,119,1.0 
12,2017/5/8,国内,345,50,48,2017/5/8 8:05,2017/5/8 11:00,31,1,74,0,119,1.0 
13,2017/5/5,国内,348,48,49,2017/5/5 8:05,2017/5/5 10:45,103,2,147,0,161,1.0 
14,2017/5/6,国内,348,48,49,2017/5/6 8:05,2017/5/6 10:45,59,2,133,0,161,1.0 
15,2017/5/5,国内,349,50,72,2017/5/5 7:30,2017/5/5 10:25,50,2,135,0,161,1.0 
16,2017/5/6,国内,349,50,72,2017/5/6 7:30,2017/5/6 10:25,94,2,131,0,161,1.0 
17,2017/5/7,国内,349,50,72,2017/5/7 7:30,2017/5/7 10:25,69,2,102,0,161,1.0 
18,2017/5/8,国内,349,50,72,2017/5/8 7:30,2017/5/8 10:25,135,2,101,0,183,1.0 
19,2017/5/5,国际,362,36,4,2017/5/5 12:45,2017/5/6 1:25,24,4,85,54,213,2.0 
20,2017/5/7,国内,356,72,49,2017/5/7 15:15,2017/5/7 17:55,29,3,110,0,163,1.0 
21,2017/5/8,国内,356,72,49,2017/5/8 15:15,2017/5/8 17:55,29,3,92,0,163,1.0 
22,2017/5/7,国内,354,71,32,2017/5/7 12:30,2017/5/7 14:15,92,2,84,37,155,1.0 
23,2017/5/7,国内,354,32,49,2017/5/7 15:15,2017/5/7 16:40,92,2,73,37,155,1.0 
24,2017/5/5,国内,356,72,49,2017/5/5 15:15,2017/5/5 17:55,92,2,145,0,155,1.0 
25,2017/5/6,国内,356,72,49,2017/5/6 15:15,2017/5/6 17:55,29,3,103,0,163,1.0 
26,2017/5/5,国内,364,50,72,2017/5/5 16:25,2017/5/5 19:25,76,2,142,0,161,1.0 
27,2017/5/6,国内,364,50,72,2017/5/6 16:25,2017/5/6 19:25,101,2,92,0,161,1.0 
28,2017/5/7,国内,364,50,72,2017/5/7 16:25,2017/5/7 19:25,99,2,108,0,161,1.0 
29,2017/5/8,国内,364,50,72,2017/5/8 16:25,2017/5/8 19:25,73,2,93,0,161,1.0 
30,2017/5/7,国内,352,68,49,2017/5/7 21:15,2017/5/7 23:10,41,1,85,0,119,1.0 
31,2017/5/8,国内,354,71,32,2017/5/8 12:30,2017/5/8 14:15,90,2,59,59,155,1.0 
32,2017/5/8,国内,354,32,49,2017/5/8 15:15,2017/5/8 16:40,90,2,61,59,155,1.0 
33,2017/5/7,国内,365,72,50,2017/5/7 20:25,2017/5/7 23:10,99,2,84,0,161,1.0 
34,2017/5/5,国内,357,50,67,2017/5/5 10:50,2017/5/5 13:20,33,1,119,0,119,1.0 
35,2017/5/6,国内,357,50,67,2017/5/6 10:50,2017/5/6 13:20,12,2,126,0,161,1.0 
36,2017/5/7,国内,357,50,67,2017/5/7 10:50,2017/5/7 13:20,15,2,82,0,161,1.0 
37,2017/5/8,国内,357,50,67,2017/5/8 10:50,2017/5/8 13:20,74,2,76,0,161,1.0 
38,2017/5/8,国内,352,68,49,2017/5/8 21:15,2017/5/8 23:10,30,1,64,0,119,1.0 
39,2017/5/6,国内,365,72,50,2017/5/6 20:25,2017/5/6 23:10,101,2,122,0,161,1.0 
40,2017/5/5,国内,365,72,50,2017/5/5 20:25,2017/5/5 23:10,76,2,124,0,161,1.0 
41,2017/5/8,国内,365,72,50,2017/5/8 20:25,2017/5/8 23:10,73,2,66,0,161,1.0 
42,2017/5/5,国内,353,49,32,2017/5/5 7:15,2017/5/5 8:50,90,2,151,10,155,1.0 
43,2017/5/6,国内,353,49,32,2017/5/6 7:15,2017/5/6 8:50,7,2,101,50,161,1.0 
44,2017/5/7,国内,353,49,32,2017/5/7 7:15,2017/5/7 8:50,92,2,110,29,155,1.0 
45,2017/5/8,国内,353,49,32,2017/5/8 7:15,2017/5/8 8:50,90,2,74,52,155,1.0 
46,2017/5/5,国内,354,71,32,2017/5/5 12:30,2017/5/5 14:15,90,2,79,66,155,1.0 
47,2017/5/5,国内,354,32,49,2017/5/5 15:15,2017/5/5 16:40,90,2,94,66,155,1.0 
48,2017/5/6,国内,354,71,32,2017/5/6 12:30,2017/5/6 14:15,7,2,81,39,161,1.0 
49,2017/5/5,国内,358,67,50,2017/5/5 14:30,2017/5/5 16:55,33,1,119,0,119,1.0 
50,2017/5/6,国内,358,67,50,2017/5/6 14:30,2017/5/6 16:55,12,2,123,0,161,1.0 
51,2017/5/7,国内,358,67,50,2017/5/7 14:30,2017/5/7 16:55,15,2,106,0,161,1.0 
52,2017/5/8,国内,358,67,50,2017/5/8 14:30,2017/5/8 16:55,74,2,63,0,161,1.0 
53,2017/5/6,国内,354,32,49,2017/5/6 15:15,2017/5/6 16:40,7,2,81,39,161,1.0 
54,2017/5/7,国内,350,72,50,2017/5/7 11:40,2017/5/7 14:25,69,2,116,0,161,1.0 
55,2017/5/5,国内,355,49,72,2017/5/5 11:15,2017/5/5 14:10,92,2,124,0,155,1.0 
56,2017/5/5,国内,350,72,50,2017/5/5 11:40,2017/5/5 14:25,70,2,141,0,161,1.0 
57,2017/5/6,国内,350,72,50,2017/5/6 11:40,2017/5/6 14:25,134,2,183,0,183,1.0 
58,2017/5/8,国内,350,72,50,2017/5/8 11:40,2017/5/8 14:25,135,2,83,0,183,1.0 
59,2017/5/6,国内,355,49,72,2017/5/6 11:15,2017/5/6 14:10,29,3,125,0,163,1.0 
