飞机机型,起飞机场 ,降落机场,飞行时间（分钟）
3,49,5,85
1,49,5,85
5,49,5,85
2,49,5,85
5,50,5,95
2,50,5,95
1,50,5,95
3,50,5,95
4,50,5,95
4,49,5,85
4,50,8,200
1,50,8,200
3,50,8,200
1,49,8,215
3,49,8,215
5,50,8,200
2,50,8,200
4,49,8,215
2,49,8,215
5,49,8,215
3,49,20,320
5,49,20,320
2,49,20,320
3,50,20,330
3,48,20,300
5,48,20,300
4,48,20,300
5,50,20,330
4,49,20,320
4,50,20,330
2,50,20,330
3,34,20,290
1,34,20,295
2,34,20,295
5,25,20,465
4,25,20,465
2,48,20,300
4,52,22,320
5,52,22,320
3,52,22,320
2,49,22,270
1,49,22,270
2,50,22,285
5,49,22,270
4,50,22,285
5,50,22,285
3,50,22,285
4,49,22,270
3,49,22,270
1,50,22,285
2,52,22,320
1,72,25,160
1,40,25,130
5,62,25,140
4,62,25,140
3,40,25,130
4,40,25,120
3,62,25,145
2,40,25,130
2,72,25,160
4,35,25,195
3,35,25,195
1,35,25,195
3,79,25,105
3,72,25,160
5,79,25,100
1,79,25,105
2,38,25,120
5,38,25,120
1,38,25,120
2,35,25,195
5,35,25,195
4,38,25,120
3,38,25,120
4,20,25,430
5,20,25,430
4,26,25,75
3,26,25,80
5,26,25,75
1,26,25,80
2,26,25,80
4,48,25,200
1,48,25,200
2,48,25,200
5,48,25,200
3,48,25,200
3,29,25,100
2,29,25,100
1,29,25,100
1,50,25,170
2,50,25,170
5,50,25,170
3,50,25,170
4,50,25,170
1,52,25,140
5,44,25,135
3,44,25,135
4,44,25,135
4,52,25,140
2,52,25,140
3,49,25,175
2,78,25,85
5,49,25,175
1,78,25,85
1,49,25,175
5,78,25,85
4,78,25,85
3,78,25,85
2,44,25,135
2,79,25,105
4,79,25,100
1,75,25,220
1,44,25,135
5,52,25,140
3,52,25,140
3,75,25,220
5,75,25,210
4,43,25,110
1,43,25,115
2,43,25,115
5,43,25,110
3,43,25,115
1,31,25,190
2,31,25,190
5,31,25,185
3,31,25,190
4,31,25,185
3,59,25,150
4,59,25,145
2,59,25,150
1,59,25,150
5,59,25,145
5,42,25,225
2,42,25,230
3,33,25,170
2,33,25,170
1,33,25,170
5,33,25,170
4,33,25,170
1,42,25,230
3,42,25,230
4,42,25,225
2,75,25,220
5,40,25,120
2,49,25,175
1,62,25,145
4,75,25,210
2,62,25,145
4,49,25,175
4,72,25,160
1,76,25,115
1,32,25,140
2,32,25,140
3,32,25,140
5,32,25,140
4,32,25,140
4,36,25,185
3,36,25,190
1,36,25,190
5,36,25,185
2,36,25,190
3,46,25,120
2,46,25,120
5,46,25,120
1,46,25,120
4,46,25,120
3,51,25,160
5,51,25,160
2,51,25,160
4,51,25,160
1,51,25,160
2,54,25,70
1,54,25,70
5,54,25,60
3,54,25,70
4,54,25,60
4,57,25,120
3,57,25,120
1,57,25,120
5,57,25,120
2,57,25,120
5,58,25,110
2,58,25,115
1,58,25,115
4,58,25,110
3,58,25,115
1,60,25,95
2,60,25,95
4,60,25,95
3,60,25,95
5,60,25,95
4,63,25,140
3,63,25,150
5,63,25,140
1,63,25,150
2,63,25,150
1,64,25,120
3,64,25,120
2,64,25,120
5,65,25,80
2,65,25,80
1,65,25,80
4,65,25,80
3,65,25,80
2,66,25,150
5,66,25,150
1,66,25,150
3,66,25,150
4,66,25,150
1,69,25,230
5,69,25,225
2,69,25,230
3,69,25,230
4,69,25,225
5,76,25,115
2,76,25,115
4,76,25,115
3,76,25,115
4,70,25,165
3,67,25,160
1,67,25,160
2,41,25,215
1,41,25,215
1,45,25,145
1,55,25,100
5,55,25,100
2,68,25,180
3,68,25,180
4,68,25,175
2,55,25,100
1,68,25,180
5,68,25,175
4,77,25,120
2,67,25,160
5,67,25,155
4,67,25,155
3,34,25,200
5,34,25,195
1,34,25,200
2,34,25,200
4,34,25,195
3,55,25,100
3,73,25,140
5,73,25,140
1,73,25,140
4,55,25,100
4,56,25,140
3,56,25,140
1,47,25,195
2,47,25,195
5,47,25,195
4,41,25,210
5,41,25,210
4,73,25,140
2,73,25,140
1,56,25,140
5,56,25,140
2,56,25,140
3,41,25,215
3,45,25,145
4,45,25,140
2,45,25,145
4,30,25,70
3,30,25,75
5,45,25,140
1,71,25,150
5,71,25,140
2,71,25,150
4,71,25,140
1,30,25,75
2,30,25,75
5,30,25,70
4,47,25,195
5,37,25,85
1,37,25,95
2,37,25,95
